SI.NO.,ACCESS NO.,TITLE OF THE BOOK,,AUTHORS,PUBLICATION,,COST,
137,CS137,Digital Signal Processing,,"John G. Proakis,Dimitris G. Manolakis",Prentice Hall India,,-,
138,CS138,Advanced Electronic Communications Systems,,Wayne Tomasi,PHI  Learning,,350,
139,CS139,Advanced Electronic Communications Systems,,Wayne Tomasi,PHI  Learning,,350,
140,CS140,The Unix Programming Environment,,Braian W.Kernighan rob pike,Prentice hall of india,,-,
141,CS141,The Unix Programming Environment,,Braian W.Kernighan rob pike,Prentice hall of india,,-,
142,CS142,The Unix Programming Environment,,Braian W.Kernighan rob pike,Prentice hall of india,,-,
143,CS143,Software Quality,,Alan C Gillies,Cengage learning,,-,
144,CS144,Software Quality,,Alan C Gillies,Cengage learning,,-,
145,CS145,Transforms and Partial Differential Equations,,N.Subramaniam,SCM Publisher,,350,
146,CS146,Transforms and Partial Differential Equations,,N.Subramaniam,SCM Publisher,,350,
147,CS147,Transforms and Partial Differential Equations,,N.Subramaniam,SCM Publisher,,350,
148,CS148,Transforms and Partial Differential Equations,,N.Subramaniam,SCM Publisher,,350,
149,CS149,Transforms and Partial Differential Equations,,N.Subramaniam,SCM Publisher,,350,
150,CS150,Transforms and Partial Differential Equations,,N.Subramaniam,SCM Publisher,,350,
151,CS151,Transforms and Partial Differential Equations,,N.Subramaniam,SCM Publisher,,350,
152,CS152,Transforms and Partial Differential Equations,,N. Subramaniam,SCM publication,,-,
153,CS153,Transforms and Partial Differential Equations,,N. Subramaniam,SCM publication,,-,
154,CS154,Transforms and Partial Differential Equations,,N. Subramaniam,SCM publication,,-,
155,CS155,Transforms and Partial Differential Equations,,N. Subramaniam,SCM publication,,-,
156,CS156,Transforms and Partial Differential Equations,,N. Subramaniam,SCM publication,,-,
157,CS157,Transforms and Partial Differential Equations,,N. Subramaniam,SCM publication,,-,
158,CS158,Transforms and Partial Differential Equations,,N. Subramaniam,SCM publication,,-,
159,CS159,Transforms and Partial Differential Equations,,N. Subramaniam,SCM publication,,-,
160,CS160,Transforms and Partial Differential Equations,,N. Subramaniam,SCM publication,,-,
161,CS161,Mobile computing,,Rajkmal,Oxford publication,,-,
162,CS162,Mobile Communications,,Jochen Sciller,Pearson Education,,-,
163,CS164,Computer Algorithms,,"Sara Baase,Allen Van Gelder",Pearson Education,,-,
164,CS165,Design & Analysis of Algorithms,,A.A. Puntambekar,Technical,,-,
165,CS166,Fundamentals of Computer Algorithms,,"Ellis Horowitz, Sartaj Sahni",Galgotia,,-,
166,CS167,Fundamentals of Computer Algorithms,,"Ellis Horowitz, Sartaj Sahni",Galgotia,,-,
167,CS168,Software Engineering concepts,,Richard E.Fairly,Tata McGraw-Hill Edition,,-,
168,CS169,Digital Signal Processing,,"John G.Proakis,Dimitris G.Manolakis",Pearson Education,,-,
169,CS170,Digital Signal Processing,,"John G.Proakis, Dimitris G.Manolakis",Pearson Education,,-,
170,CS171,Digital Signal Processing,,"John G.Proakis,Dimitris G.Manolakis",Pearson Education,,-,
171,CS172,Total Quality Management,,Dale H. Besterfield et. al,Pearson,,-,
172,CS173,Total Quality Management,,Dale H. Besterfield et. al,Pearson,,-,
173,CS174,Total Quality Management,,Dale H. Besterfield et. al,Pearson,,-,
174,CS175,Total Quality Management,,Dale H. Besterfield et. al,Pearson,,-,
175,CS176,Total Quality Management,,Dale H. Besterfield et. al,Pearson,,-,
176,CS177,Total Quality Management,,Dale H. Besterfield et. al,Pearson,,-,
177,CS178,Total Quality Management,,Dale H. Besterfield et. al,Pearson,,-,
178,CS179,Essentials of Management,,"Harold Koontz,Heinz Weihrich",Tata Mcgraw Hill,,-,
179,CS180,Essentials of Management,,"Harold Koontz,Heinz Weihrich",Tata Mcgraw Hill,,-,
180,CS181,Essentials of Management,,"Harold Koontz,Heinz Weihrich",Tata Mcgraw Hill,,-,
181,CS182,Essentials of Management,,"Harold Koontz,Heinz Weihrich",Tata Mcgraw Hill,,-,
182,CS183,Essentials of Management,,"Harold Koontz,Heinz Weihrich",Tata Mcgraw Hill,,-,
183,CS184,Data And Computer Communications,,William Stallings,Pearson Education,,-,
184,CS185,Advanced Microprocessors and Peripherals,,"Akray,K M Burchandi",Tata McGraw Hill,,-,
185,CS186,Enterprise java beans,,Tom valesky,Pearson Education,,-,
186,CS187,Client/server computing,,"Patrick smith,Strve guengerich",Prentice-hall of india,,-,
187,CS188,Client/Server Computing,,"Patrick Smith,Steve Guengerih",Prentice Hall India (PHI),,-,
188,CS189,Computer Architecture And Parallel processing,,Faye A. Briggs,McGraw-Hill Edition,,-,
189,CS190,Engineering Mathematics,,A.Singaravelu,Meenakshi Publications,,120,
190,CS191,Computer Architecture And Parallel processing,,Faye A. Briggs,McGraw-Hill Edition,,-,
191,CS192,Numerical Methods,,"P. Kandasamy, K. Thilagavathy,K. Gunavathy",S. Chand,,-,
192,CS193,Discrete Event Simulation,,"Jerry Banks,John S. Carson et al",Prentice Hall India,,-,
193,CS194,Advanced Electronic Communications Systems,,Wayne Tomasi,PHI  Learning,,350,
194,CS195,Enterprise java beans,,Tom valesky,Pearson Education,,-,
195,CS196,Digital Signal Processing,,"John G.Proakis,Dimitris G.Manolakis",Pearson Education,,-,
196,CS197`,Digital Logic and Computer Design,,M.Morris Mano,Prentice Hall India,,-,
197,CS198,Digital Signal Processing,,P.Ramesh Babu,Scitech Publications,,295,
198,CS199,Introduction to Network Security,,Neal Krawetz,Cenage Learning,,-,
199,CS200,Environmental Science and Engineering,,"Anubha Kaushik ,C.P.Kaushik",New Age International Publishers,,150,
200,CS201,Communication Electronics,,"N D Deshpande,D A Deshpande,P K Rangole",Tata McGraw Hill,,-,
201,CS202,Multimedia- Making it work,,Tay Vaughan,Tata McGraw Hill,,,
202,CS203,Introductions to  Environmental Engineering and science,,"Gilbert M.Masters,Wendell p.ELA",Prentice-Hall of India,,-,
