SI.NO.,ACCESS NO.,TITLE OF THE BOOK,,AUTHORS,PUBLICATION,,COST,
595,CS604,Engineering Electromagnetic(Field Theory),,Dr.P.Dananjayan,Lakshmi Publications,,-,
596,CS605,Digital Electronics,,William H.Gothmann,Prentice-Hall of India,,-,
597,CS606,Digital Electronics,,Prof. B.N.Yoganarasimhan,Shiva Book Centre,,-,
598,CS607,Elements of Engineering Electromagnetics,,Nannapaneni Narayana Rao,Prentice-Hall of India,,-,
599,CS608,Introductory Course In Electromagnetics Fields,,P.V.Gupta,Dhanpat Rai Publication,,-,
600,CS609,Signals And Systems,,Sanjay sharma,S.K.Kataria & sons,,-,
601,CS610,Signals And Systems,,S.P.Eugene Xavier,S.Chand & Company Ltd,,-,
602,CS611,Signals And Systems,,S.Batmavady Girivasan,Hi-Tech Publication,,-,
603,CS612,Modern Digital Signal Processing,,Prabhakar S Naidu,Narosa Publishing House,,-,
604,CS613,Wireless Communications and Networks,,William Stallings,Pearson education,,-,
605,CS614,"Microprocessor Architecture, Programming, and Applications with the 8085",,Ramesh Gaonkar,Penram International Publications,,-,
606,CS615,Electronics Devices And Circuits,,S Rama Reddy,Narosa Publishing House,,-,
607,CS616,Network Analysis And Synthesis,,"A Sudhakar , Shyammohan  S Palli",Tata McGraw-Hill Publishing company Limited,,-,
608,CS617,Office Management,,Prasanta K.Ghosh,Sultan Chand and sons,,-,
609,CS618,Signals And Systems,,M.J.Roberts,Tata McGraw-Hill Publishing company Limited,,-,
610,CS619,Communication Theory And Systems,,K.S.Srinivasan,Anuradha Agencies,,-,
611,CS620,Digital Signal Processing,,M.S.Abdaheer,Lakshmi Publications,,150,
612,CS621,Engineering Network Analysis and Filter Design,,"Gopal G.Bhise,Prem R.Chadha",Umesh Publications,,250,
613,CS622,Engineering Electromagnetic,,"William H.Hayt,Jr.John A.Buck",Tata McGraw-Hill Publishing company Limited,,-,
614,CS623,Digital Signal Processing,,C.Ramesh Babu Durai,Laxmi publications private limited,,170,
615,CS624,Electronic Communication,,"Lloyo Temes,Mitchel E.Schultz",Tata McGraw-Hill Publishing company Limited,,-,
616,CS625,Signals And Systems,,Hwei.P.HSU,Tata McGraw-Hill Publishing company Limited,,-,
617,CS626,Theory and problems of Electromagnetics,,Joseph A.Edminister,Tata McGraw-Hill Edition,,-,
618,CS627,Engineering Circuit Analysis,,"Whhayt,J E Kemmerly S M Durbin",Tata McGraw-Hill Publishing company Limited,,-,
619,CS628,Oru Indianin Airopiya Anubhavam,,Dr.S. TamilArasan,Kurinji Publication,,-,
620,CS629,Oru Indianin Airopiya Anubhavam,,Dr.S. TamilArasan,Kurinji Publication,,-,
621,CS630,Oru Indianin Airopiya Anubhavam,,Dr.S. TamilArasan,Kurinji Publication,,-,
622,CS631,Control Systems,,A.Nagoor Kani,RBA Publication,,200,
623,CS632,Modern Television Practice,,R.R.Gulati,New Age International Publishers,,-,
624,CS633,Telecommunication Switching Principles,,M.T.Hills,-,,-,
625,CS634,Computer Networks,,"V.S.Bagad,I.A.Dhotre",Technical Publications,,340,
626,CS635,Data structures using C,,"Aaron M.Tenenbaum,Yedidyah Langsam,Moshe J.Augenstein",Pearson education,,-,
627,CS636,Data Structures and  Algorithm Analysis in C,,Mark Allen Weiss,Pearson education,,-,
628,CS637,Computer Networks,,"Nithyanandam,Grace Mary,Eswari",,,-,
629,CS638,Computer Networks,,"V.S.Bagad,I.A.Dhotre",Technical Publications,,350,
630,CS640,Computer Networks,,"V.S.Bagad,I.A.Dhotre",Technical Publications,,285,
631,CS641,Engineering Mechanics,,"Dr.S.Dinesh Kumar,Dr. G.Sankaranarayanan",Sri maruthi Publishers,,-,
632,CS642,Internet Programming,,A.A.Puntambekar,Technical Publications,,495,
633,CS643,Verbal English,,Axiom,Axiom Academy,,-,
634,CS644,Verbal English,,Axiom,Axiom Academy,,-,
635,CS645,Verbal English,,Axiom,Axiom Academy,,-,
636,CS646,Verbal English,,Axiom,Axiom Academy,,-,
637,CS647,Verbal English,,Axiom,Axiom Academy,,-,
638,CS648,Verbal English,,Axiom,Axiom Academy,,-,
639,CS649,Logical Reasoning,,Axiom,Axiom Academy,,-,
640,CS650,Logical Reasoning,,Axiom,Axiom Academy,,-,
641,CS651,Logical Reasoning,,Axiom,Axiom Academy,,-,
642,CS652,Logical Reasoning,,Axiom,Axiom Academy,,-,
643,CS653,Quantitative Aptitude Book2,,Axiom,Axiom Academy,,-,
644,CS654,Quantitative Aptitude Book2,,Axiom,Axiom Academy,,-,
645,CS655,Quantitative Aptitude Book2,,Axiom,Axiom Academy,,-,
646,CS656,Quantitative Aptitude Book2,,Axiom,Axiom Academy,,-,
647,CS658,Quantitative Aptitude Book2,,Axiom,Axiom Academy,,-,
648,CS659,Quantitative Aptitude Book2,,Axiom,Axiom Academy,,-,
649,CS660,Quantitative Aptitude Book2,,Axiom,Axiom Academy,,-,
650,CS661,Quantitative Aptitude Book2,,Axiom,Axiom Academy,,-,
651,CS662,Distributed Systems,,"George Coulouris,Jean
Dollimore,Tim Kindberg,Gordon Blair",Pearson Education,,-,
652,CS663,Electrical Engineering and Control systems,,"U.A.Bakshi,V.U.Bakshni",Technical Publications,,-,
653,CS664,Engineering Practices Lab,,T.Jeyapoovan,Vikas Publishing House Pvt Ltd,,95,
654,CS665,Engineering Physics-I,,"G.Senthil Kumar,P.Paramasivam",VRB publishers Pvt Ltd,,197,
655,CS666,Engineering Mechanics,,K.V. Natarajan,KVN Publishers,,310,
656,CS667,Day to Day English Part -I,,V.R.Angappan,Sathiya Sai Pathippagam,,200,
657,CS668,Metrics And Models In Software Quality Engineering,,Stephen H.Kan,Pearson Education,,-,
658,CS669,Electronics Communications Systems,,Wayne Tomasi,Pearson Education,,-,
659,CS670,Challenging Maths Problems,,Rajesh Singh,Goodwill Publishing House,,160,
660,CS671,Sakthi's TANCET,,Dr.D.Antony Xavier,Sakthi Publication House,,200,
661,CS672,"CS672Microprocessor Architecture,Programming and Application with the 8085",,Ramesh S.Goankar,Penram International Publishing,,-,
662,CS673,Digital Signal Processing,,"Proakis, Manolakis",Pearson Education,,-,
663,CS674,Compiler Design,,Santanu Chattopadhyay,Eastern Economy Edition,,-,
664,CS675,Principles Of Compiler Design,,P.Kalaiselvi,Pratheeba Publishers,,-,
665,CS676,Microprocessor and Microcontroller,,A.P Godse D.A Godse,Technical Publiaction,,380,
666,CS677,Basic Engineering and Sciences,,V.Santhana Krishnan,Sakthi Publication House,,170,
667,CS678,Ethics in Engineering,,"Mike W.Martin,Roland Schinzinger",Tata MC Graw-Hill,,-,
668,CS679,Software Quality  Theory  and Management,,Alan C Gillies,Thomsan Publication,,-,
669,CS680,An Embedded Software Primer,,David E.Simon,Pearson Education,,-,
670,CS681,Day to Day English Part -II,,Dr.V.R Angappan,Sathya Sai Pathipagam,,150,
